product_id,price,catalog_id,per_user,self_service
1,60,24,TRUE,TRUE
2,6,24,TRUE,TRUE
3,60,24,TRUE,TRUE
4,6,24,TRUE,TRUE
5,100,24,TRUE,TRUE
6,10,24,TRUE,TRUE
7,12,24,TRUE,TRUE
8,120,24,TRUE,TRUE
9,200,24,TRUE,TRUE
10,20,24,TRUE,TRUE
11,240,24,TRUE,TRUE
12,24,24,TRUE,TRUE
13,250,24,TRUE,TRUE
14,25,24,TRUE,TRUE
15,300,24,TRUE,TRUE
16,30,24,TRUE,TRUE
17,350,24,TRUE,TRUE
18,35,24,TRUE,TRUE
19,420,24,TRUE,TRUE
20,42,24,TRUE,TRUE
21,55,24,TRUE,TRUE
22,450,24,TRUE,TRUE
23,540,24,TRUE,TRUE
24,54,24,TRUE,TRUE
25,550,24,TRUE,TRUE
26,45,24,TRUE,TRUE
27,660,24,TRUE,TRUE
28,6600,24,TRUE,TRUE
29,1250,24,TRUE,TRUE
30,125,24,TRUE,TRUE
31,1500,24,FALSE,FALSE
32,150,24,FALSE,FALSE
33,60,24,FALSE,FALSE
34,5,24,FALSE,FALSE
41,,24,FALSE,FALSE
42,,24,FALSE,FALSE
43,1.49,24,TRUE,TRUE
44,15.48,24,TRUE,TRUE
45,1.2,24,TRUE,TRUE
46,12,24,TRUE,TRUE
47,6,24,TRUE,TRUE
48,60,24,TRUE,TRUE
49,,24,FALSE,FALSE
50,,24,FALSE,FALSE
51,0,24,FALSE,FALSE
52,0,24,FALSE,FALSE
53,0,24,FALSE,FALSE
54,0,24,FALSE,FALSE
55,1400,24,FALSE,FALSE
56,2000,24,FALSE,FALSE
57,2400,24,FALSE,FALSE
58,4700,24,FALSE,FALSE
59,1800,24,FALSE,FALSE
60,2500,24,FALSE,FALSE
61,3000,24,FALSE,FALSE
62,5000,24,FALSE,FALSE
63,180,24,FALSE,FALSE
64,250,24,FALSE,FALSE
65,300,24,FALSE,FALSE
66,500,24,FALSE,FALSE
67,3100,24,FALSE,FALSE
68,4000,24,FALSE,FALSE
70,8,24,TRUE,TRUE
71,36,24,TRUE,TRUE
72,3,24,TRUE,TRUE
73,3,24,TRUE,TRUE
74,0,24,TRUE,TRUE
75,0,24,TRUE,TRUE
76,96,24,TRUE,TRUE
77,8,24,TRUE,TRUE
78,4,24,TRUE,TRUE
79,40,24,TRUE,TRUE
80,0,24,TRUE,TRUE
81,4,24,TRUE,TRUE
82,23,24,TRUE,TRUE
83,276,24,TRUE,TRUE
84,23,24,TRUE,TRUE
85,0,24,TRUE,TRUE
86,0,24,TRUE,TRUE
87,0,24,TRUE,TRUE
88,0,24,TRUE,TRUE
89,0,24,TRUE,TRUE
90,0,24,TRUE,TRUE
91,0,24,TRUE,TRUE
92,0,24,TRUE,TRUE
93,6,24,TRUE,TRUE
94,6,24,TRUE,TRUE
95,72,24,TRUE,TRUE
96,13.5,24,TRUE,TRUE
97,162,24,TRUE,TRUE
98,13.5,24,TRUE,TRUE
99,26.5,24,TRUE,TRUE
100,26.5,24,TRUE,TRUE
101,318,24,TRUE,TRUE
102,67,24,TRUE,TRUE
103,67,24,TRUE,TRUE
104,804,24,TRUE,TRUE
105,134,24,TRUE,TRUE
106,134,24,TRUE,TRUE
107,1608,24,TRUE,TRUE
108,268,24,TRUE,TRUE
109,268,24,TRUE,TRUE
110,3216,24,TRUE,TRUE
111,535,24,TRUE,TRUE
112,535,24,TRUE,TRUE
113,6420,24,TRUE,TRUE
114,1068,24,TRUE,TRUE
115,1068,24,TRUE,TRUE
116,12816,24,TRUE,TRUE
117,0,24,TRUE,TRUE
118,4,24,TRUE,TRUE
119,4,24,TRUE,TRUE
120,48,24,TRUE,TRUE
121,0,24,TRUE,TRUE
122,0,24,TRUE,TRUE
123,0,24,TRUE,TRUE
124,0,24,TRUE,TRUE
125,0,24,TRUE,TRUE
126,0,24,TRUE,TRUE
127,140,24,FALSE,FALSE
128,200,24,FALSE,FALSE
129,240,24,FALSE,FALSE
130,310,24,FALSE,FALSE
131,470,24,FALSE,FALSE
132,400,24,FALSE,FALSE
133,0,24,TRUE,TRUE
134,4,24,TRUE,TRUE
135,8,24,TRUE,TRUE
136,3,24,TRUE,TRUE
137,23,24,TRUE,TRUE
138,6,24,TRUE,TRUE
139,13.5,24,TRUE,TRUE
140,26.5,24,TRUE,TRUE
141,67,24,TRUE,TRUE
142,134,24,TRUE,TRUE
143,268,24,TRUE,TRUE
144,535,24,TRUE,TRUE
145,1068,24,TRUE,TRUE
146,4,24,TRUE,TRUE
147,0,24,TRUE,TRUE
148,0,24,TRUE,TRUE
149,0,24,TRUE,TRUE
150,0,24,TRUE,TRUE
151,0,24,TRUE,TRUE
152,0,24,TRUE,TRUE
